L_FAL,,,L_TAM,,,L_FCC,,,L_FM1,,,L_FM2,,,L_FM5,,
0.3902738342285156,0.0980623016357422,0.0552999801635742,0.4637597045898438,0.1188229904174805,0.0964770812988281,0.4459394226074219,0.0503655700683594,0.0499519805908203,0.4659599609375000,0.2444283599853516,0.0601155776977539,0.4133689575195312,0.2973381042480469,0.0506687507629394,0.3836790771484375,0.2217370605468750,0.0266732826232910
0.3899039916992187,0.0978587722778320,0.0552245864868164,0.4627801513671875,0.1192612457275391,0.0963389968872070,0.4456325073242188,0.0505802536010742,0.0500841636657715,0.4655169067382813,0.2445322570800781,0.0601360664367676,0.4130812072753907,0.2973952941894531,0.0497788391113281,0.3834878234863281,0.2221312713623047,0.0261760940551758
0.3892441406250000,0.0968781509399414,0.0552244644165039,0.4615803833007813,0.1186809768676758,0.0954573287963867,0.4455325622558594,0.0505504455566406,0.0499038734436035,0.4638244628906250,0.2442173461914062,0.0616763763427734,0.4112607116699219,0.2970565795898437,0.0497278709411621,0.3853262023925781,0.2217897491455078,0.0236794490814209
0.3910140686035156,0.0961620712280273,0.0551680793762207,0.4622856140136719,0.1202231445312500,0.0960016937255859,0.4469989624023438,0.0508966255187988,0.0498998641967773,0.4625884704589844,0.2448244018554687,0.0618598594665527,0.4091504516601562,0.2968883666992188,0.0500444755554199,0.3845035705566406,0.2215066223144531,0.0234665927886963
0.3912158508300781,0.0959787368774414,0.0553289375305176,0.4623255310058594,0.1204997787475586,0.0959218597412109,0.4473278503417969,0.0510797348022461,0.0499425582885742,0.4623880920410156,0.2449147949218750,0.0619687690734863,0.4091553039550782,0.2970729370117188,0.0498751640319824,0.3843862304687500,0.2215947113037109,0.0233097248077393
0.3910906372070312,0.0963067092895508,0.0553739814758301,0.4621759033203125,0.1207730407714844,0.0959246139526367,0.4468836364746094,0.0512090034484863,0.0500931167602539,0.4631239929199219,0.2449175109863281,0.0615523567199707,0.4101467285156250,0.2973296508789063,0.0493267784118652,0.3847410888671875,0.2218937530517578,0.0233760776519775
0.3906990966796875,0.0973567047119141,0.0550865173339844,0.4619841308593750,0.1211796722412109,0.0960018310546875,0.4458608398437500,0.0513959312438965,0.0504524688720703,0.4644289855957031,0.2451766204833984,0.0599305458068848,0.4118913574218750,0.2980676574707031,0.0472918891906738,0.3826473083496094,0.2229222106933594,0.0250958614349365
0.3901622009277344,0.0983124389648437,0.0548569717407227,0.4614151000976562,0.1215972671508789,0.0963247604370117,0.4444385986328125,0.0513230438232422,0.0509734115600586,0.4655127258300781,0.2450841217041015,0.0583902435302734,0.4131987609863281,0.2984819946289062,0.0453615417480469,0.3827318725585938,0.2233294830322266,0.0248666191101074
0.3909241027832031,0.0991063842773438,0.0548941307067871,0.4625761413574219,0.1222844619750977,0.0963094406127930,0.4451722106933594,0.0515426521301270,0.0514060630798340,0.4656590270996094,0.2458505554199219,0.0569718513488769,0.4128121643066406,0.2989651489257812,0.0435594024658203,0.3825321350097656,0.2231447143554688,0.0243048553466797
0.3919601745605469,0.0990543746948242,0.0557145652770996,0.4646043090820313,0.1217515029907227,0.0962656097412109,0.4464212951660156,0.0512472610473633,0.0512681236267090,0.4675610046386719,0.2456039123535156,0.0556247520446777,0.4147005920410156,0.2985200805664062,0.0440010452270508,0.3844287719726562,0.2228540039062500,0.0245919113159180
0.3932428588867188,0.0991460266113281,0.0562663688659668,0.4668218994140625,0.1214119262695312,0.0957699813842773,0.4471822204589844,0.0510290527343750,0.0514029350280762,0.4697054443359375,0.2459702606201172,0.0527319107055664,0.4154712524414063,0.2983081665039062,0.0432068862915039,0.3856007385253906,0.2225744476318359,0.0242964744567871
0.3929624023437500,0.0996900634765625,0.0561642799377441,0.4670227661132813,0.1211933212280273,0.0959293518066406,0.4466307983398438,0.0511182403564453,0.0515281906127930,0.4708681030273438,0.2460862731933594,0.0507075576782226,0.4160044250488281,0.2983288574218750,0.0425875701904297,0.3855578613281250,0.2228272247314453,0.0242737770080566
0.3933919677734375,0.1005348434448242,0.0560946807861328,0.4681783142089844,0.1216035766601563,0.0956759185791016,0.4467642822265625,0.0516510810852051,0.0515787467956543,0.4727475891113281,0.2465318908691406,0.0471683197021484,0.4177176513671875,0.2987502136230469,0.0407326965332031,0.3853089904785156,0.2231115417480469,0.0241169013977051
0.3927367858886719,0.1003374633789063,0.0556946983337402,0.4668547973632813,0.1213638687133789,0.0957869949340820,0.4460866394042969,0.0515568122863770,0.0514908332824707,0.4724570312500000,0.2463816528320313,0.0470537948608398,0.4172579650878906,0.2984328308105469,0.0408597831726074,0.3848020629882812,0.2231380920410156,0.0237236766815186
