L_FAL,,,L_TAM,,,L_FCC,,,L_FM1,,,L_FM2,,,L_FM5,,,R_FAL,,,R_TAM,,,R_FCC,,,R_FM1,,,R_FM2,,,R_FM5,,
0.4259317626953125,0.1015543289184570,0.0658951873779297,0.5058613891601562,0.1239982070922852,0.0874366378784180,0.4792486572265625,0.0541809806823730,0.0533297996520996,0.4970300903320313,0.2495343933105469,0.0232705364227295,0.4421692199707031,0.3024077758789063,0.0235231056213379,0.4015590515136719,0.2212967224121094,0.0237240104675293,0.7291197509765626,0.1025119857788086,0.0778950119018555,0.6516411743164062,0.1238723678588867,0.0945983581542969,0.6869855346679687,0.0564584655761719,0.0535395011901856,0.6632234497070313,0.2531414642333985,0.0312819557189941,0.7225474853515625,0.3068911132812501,0.0198903503417969,0.7567236328125000,0.2228615112304688,0.0255998630523682
0.4259498901367187,0.1014707946777344,0.0659222793579102,0.5058976135253906,0.1241112899780274,0.0875006103515625,0.4793426513671875,0.0541646804809570,0.0533247032165527,0.4969654235839844,0.2495696563720703,0.0233345184326172,0.4425953979492188,0.3023344421386719,0.0234883117675781,0.4014899902343750,0.2213099060058593,0.0237184753417969,0.7291580200195312,0.1024830932617188,0.0779943084716797,0.6516525878906250,0.1238858108520508,0.0946689376831055,0.6869787597656251,0.0564688758850098,0.0536644020080566,0.6632147216796875,0.2531162567138672,0.0312454166412354,0.7228673095703125,0.3069056701660157,0.0198259754180908,0.7567579345703125,0.2228710784912110,0.0255659389495850
0.4259744567871094,0.1014982299804688,0.0659847259521484,0.5060323486328125,0.1242671279907227,0.0875828857421875,0.4793818969726563,0.0542322235107422,0.0534156303405762,0.4970865173339844,0.2495954589843750,0.0232577819824219,0.4419214782714844,0.3024363098144531,0.0234411029815674,0.4015054931640625,0.2213119812011718,0.0237017478942871,0.7290650024414063,0.1025780029296875,0.0779874191284180,0.6516497192382813,0.1239248046875000,0.0947127304077148,0.6869060058593750,0.0565270881652832,0.0537633438110352,0.6631336059570313,0.2531573638916016,0.0312088813781738,0.7234268798828125,0.3069056091308595,0.0197650108337402,0.7567642822265626,0.2228975677490235,0.0255912055969238
0.4260602111816406,0.1015468444824219,0.0660053634643555,0.5060474853515625,0.1242489776611328,0.0874976654052735,0.4794300842285156,0.0542666244506836,0.0534720802307129,0.4971754150390625,0.2495901794433593,0.0231597042083740,0.4416412048339844,0.3025075988769531,0.0233850860595703,0.4015025024414063,0.2213052062988281,0.0237237854003906,0.7291340332031250,0.1025361022949219,0.0780110931396484,0.6517379150390625,0.1239453735351563,0.0947297439575195,0.6869053344726562,0.0565335311889648,0.0537852783203125,0.6631771850585938,0.2531627655029297,0.0312623119354248,0.7237141723632813,0.3069059143066407,0.0197720661163330,0.7568385620117187,0.2228832550048828,0.0255396881103516
0.4260607910156250,0.1015562667846680,0.0660652236938477,0.5060515441894531,0.1241679840087891,0.0874588241577148,0.4794116210937500,0.0542605171203613,0.0534789199829101,0.4972549743652344,0.2495642395019531,0.0231532669067383,0.4412651977539063,0.3025848693847656,0.0234544696807861,0.4015516662597656,0.2213118591308593,0.0237292022705078,0.7292097778320312,0.1024053192138672,0.0780222167968750,0.6518334350585938,0.1239362564086914,0.0948181152343750,0.6869756469726562,0.0564819068908691,0.0537946701049805,0.6632301025390626,0.2531376495361328,0.0312740764617920,0.7239588623046875,0.3069083251953125,0.0197942676544189,0.7568885498046876,0.2228630523681641,0.0255262298583984
0.4260598754882813,0.1016597824096680,0.0661212692260743,0.5061867370605468,0.1242956619262695,0.0872309646606446,0.4793652343750000,0.0543189659118653,0.0536250648498535,0.4972755126953125,0.2496476898193359,0.0230781612396240,0.4408805847167969,0.3028109741210937,0.0234823951721192,0.4015548706054687,0.2213712005615234,0.0237177276611328,0.7291361083984376,0.1024163894653320,0.0779936752319336,0.6519013671875000,0.1239110183715820,0.0948462677001953,0.6869145507812500,0.0565373535156250,0.0538407669067383,0.6632012939453125,0.2531688079833984,0.0312905902862549,0.7239862060546876,0.3069812316894531,0.0197505397796631,0.7569280395507813,0.2228942108154297,0.0254948577880859
0.4259848022460938,0.1018033065795898,0.0662950286865235,0.5060285644531251,0.1247042541503906,0.0875157241821289,0.4793138427734375,0.0545485496520996,0.0542519683837891,0.4973507690429688,0.2498180541992188,0.0229959411621094,0.4407446899414063,0.3032760314941406,0.0236168441772461,0.4014162292480469,0.2215223541259765,0.0236286487579346,0.7289812622070313,0.1025744400024414,0.0782394638061524,0.6517002563476563,0.1242398529052734,0.0952130126953125,0.6867428588867187,0.0567679252624512,0.0542920150756836,0.6631092529296875,0.2534871673583984,0.0312022056579590,0.7241289672851563,0.3073127746582032,0.0195742988586426,0.7569360961914062,0.2230403594970704,0.0254766254425049
0.4257338867187500,0.1018174285888672,0.0665416107177734,0.5056960144042969,0.1250217132568359,0.0879212722778320,0.4791458129882812,0.0547036628723144,0.0549188270568848,0.4972685852050782,0.2499031677246094,0.0231143321990967,0.4405676879882813,0.3033760375976563,0.0233539543151856,0.4012607116699219,0.2216619262695313,0.0234860095977783,0.7288980712890625,0.1027595520019531,0.0785892944335938,0.6516707763671875,0.1245015029907227,0.0956082611083985,0.6866238403320313,0.0569562873840332,0.0547977752685547,0.6630846557617187,0.2537953643798828,0.0311265506744385,0.7241864013671875,0.3076272277832032,0.0193982563018799,0.7569298095703125,0.2231887054443359,0.0254290637969971
0.4255944824218750,0.1017357025146484,0.0666404342651367,0.5055065612792969,0.1250466384887695,0.0879996948242188,0.4791116027832031,0.0546898612976074,0.0551106185913086,0.4971750488281250,0.2498805236816406,0.0232281169891357,0.4405194702148438,0.3034046020507812,0.0233403549194336,0.4011835327148437,0.2216828460693359,0.0234525527954102,0.7289927978515626,0.1026608810424805,0.0786370391845703,0.6519152832031250,0.1244342880249023,0.0957653808593750,0.6866797485351562,0.0569727478027344,0.0549202232360840,0.6631135253906251,0.2538335876464844,0.0311339340209961,0.7242066650390625,0.3076735839843751,0.0193818721771240,0.7569675292968751,0.2232158813476562,0.0253980960845947
0.4253979797363281,0.1019282150268555,0.0668763122558594,0.5054705505371094,0.1249047012329102,0.0878016815185547,0.4790357666015625,0.0546591567993164,0.0548537445068359,0.4971838073730469,0.2498358459472657,0.0232553272247314,0.4405314025878906,0.3033523254394531,0.0233657989501953,0.4011872863769531,0.2216712951660156,0.0234541606903076,0.7293595581054688,0.1024737854003906,0.0782815551757813,0.6522382202148438,0.1242654037475586,0.0957807083129883,0.6870083618164062,0.0567702102661133,0.0545258674621582,0.6631409301757812,0.2536191864013672,0.0312944965362549,0.7241424560546875,0.3075638732910156,0.0194249897003174,0.7570979003906250,0.2231685791015625,0.0253373851776123
0.4254538879394532,0.1017509841918945,0.0666088485717773,0.5054833984375000,0.1245565109252930,0.0874355697631836,0.4789470825195313,0.0544826545715332,0.0540747566223144,0.4971627502441406,0.2496701202392578,0.0233097381591797,0.4405460205078125,0.3030805358886719,0.0234370861053467,0.4012427062988281,0.2215522308349610,0.0235286769866943,0.7298276367187501,0.1020999526977539,0.0779984054565430,0.6526983032226563,0.1239269180297852,0.0956956253051758,0.6873308715820312,0.0565969581604004,0.0541194763183594,0.6632885131835937,0.2533560333251953,0.0314649066925049,0.7240997314453125,0.3073691711425781,0.0195283660888672,0.7572020874023437,0.2230496826171875,0.0252342700958252
