L_r0F0,,,L_f0,,,R_r0F0,,,R_f0,,
0.4549738537736783,0.1879469004857854,0.0004417001286198,21.1556021945451818,0.4304098116358272,402.2770637613513713,0.7109348467473485,0.1953014488655342,0.0013913765632313,-19.8197116423522672,-13.6930113308770363,358.8846585591678604
0.4521876799190134,0.1980490140956700,0.0004532654206619,22.2571952351122455,-3.9187153131043493,405.5823468323689553,0.7126718199708916,0.1996682976573279,0.0013890517484103,-20.7859445192872627,-11.7002794840260655,362.6751600573330734
0.4488476736226725,0.2088260873805443,0.0004648557955608,23.7669259769413621,-9.6742418398093850,400.8777887621443483,0.7140605267123851,0.2084045640009281,0.0013846312307194,-21.1584659944278002,-15.7775999834997656,359.4892349054888427
0.4483332886563295,0.2113355866679527,0.0004680799348349,24.5300189475759254,-11.4066738118795392,396.6723723471377525,0.7153238758696403,0.2108697925209415,0.0013832999838382,-21.4970386139612231,-16.3489991689208622,361.1514439036139947
0.4471006555371502,0.2140460307114515,0.0004700948395318,25.6001966901623170,-13.5580164773796721,392.2096154093803761,0.7166735683239196,0.2144108279793090,0.0013814499748149,-21.9201284162750234,-20.7757866723084526,367.7551746055857507
0.4489114945985775,0.2072395861318129,0.0004621219148566,24.5191757337310925,-11.4424174219787851,381.9294161209426761,0.7144026940593435,0.2081973716819009,0.0013847016660862,-22.8976217047925594,-18.8864293401814258,363.9253639185629368
0.4531712839627532,0.1824276583000738,0.0004281409660520,22.0334598205759278,0.4792109477949129,358.4200839002643306,0.7108384739711952,0.1817386920581003,0.0013981778243792,-25.0823474809065274,-13.5450683959741998,383.9792066158456691
0.4619649520019415,0.1492686064756076,0.0003894232963448,17.8806965482995963,5.0103381887271645,333.8903882525117410,0.7024561696091393,0.1467506552806068,0.0014160848796763,-26.3152597908967962,-0.4116127081579706,415.8350557283399667
0.4656581087321758,0.1340007163466655,0.0003708247522660,17.2475697747885306,5.4594904989558550,335.4975408538810484,0.6996686889375950,0.1311264808665105,0.0014240436574729,-26.8807879187883216,2.2985276971578492,428.2686947304684963
0.4643638293234365,0.1420725757966059,0.0003820125214284,17.5422522134100625,3.9859304730748595,350.6300957775301299,0.6997204454696092,0.1357110692568115,0.0014217468912552,-24.0008937136958842,-5.6938703603615322,404.8640578690724965
0.4624577761015340,0.1522168424441177,0.0003954877150318,20.0650828663127605,0.2394582604096703,377.0391737506714662,0.7023221632226214,0.1485343254479027,0.0014151621939943,-20.4477673875460901,-10.5157871560553033,375.4948990428741809
0.4605656948267587,0.1605811860607792,0.0004058965351826,25.5638958535175682,-4.0896243427024137,405.1809624152860465,0.7035572826496466,0.1552703833215805,0.0014117997290233,-20.3601758689126520,-18.0901539895611734,347.2295546654705731
0.4599790219922094,0.1587132951265598,0.0004014479342851,29.1917962396323638,-4.4306009314332693,428.1816098384508678,0.7040467385945490,0.1573237740579289,0.0014107315083673,-19.3122176562885564,-17.6058110663286662,329.0232916327465773
0.4621573330451981,0.1436534765624899,0.0003800813809304,29.4805509021791430,2.3897315684460678,436.2363223983545595,0.7029472413461284,0.1494808449144789,0.0014147547522964,-19.2561580096827214,-16.4432655279219198,313.6077095770715459
0.4653772189533527,0.1258399603819956,0.0003561602208257,30.1353171996467601,7.5715292354521830,435.6317495702149358,0.7008296552747502,0.1343854945014996,0.0014223497094314,-18.8750340470436129,-7.1024700023604259,313.2535138229391691
0.4694688788268000,0.1123001776042142,0.0003414566362892,26.9697031767962372,9.0865436396780979,428.1967144940626326,0.6992978119124450,0.1252083080290953,0.0014271113120327,-22.1451779915436369,-10.0312980519788564,330.3785202455414947
0.4727492358453055,0.1035052544982547,0.0003332055206517,23.1351959802166789,10.4912963841019273,407.7977848701145263,0.6974342612756440,0.1180704944619819,0.0014307125086919,-22.1771523642094515,-8.0187439107177703,341.6360385269001085
0.4750962011281035,0.0994662984257003,0.0003311997388946,19.5383178205821757,9.3690441342106610,393.7320402179691428,0.6968326664942609,0.1119454833151343,0.0014338186132440,-20.2264485365136721,-10.2684437586159181,360.0822304989716827
0.4761194742838679,0.0946275943480640,0.0003250355923552,16.7496425823559392,11.4478018715127465,380.5511417184658285,0.6971335793703708,0.1055240736177964,0.0014369641370644,-20.8179002690208215,-7.4203958167779458,368.0052147934793538
0.4777565921542651,0.0934454674847581,0.0003264674164804,15.3047874860520903,9.6500020549293328,373.1003322897150838,0.6948726476322734,0.0994590106588352,0.0014401120668754,-17.6294034451179513,-8.1957466519522875,380.8028553595489711
0.4775840916581482,0.0952323791998572,0.0003291827966904,14.3793795139843095,6.8382074382818363,367.4214073322241916,0.6940662685878745,0.0996488016597154,0.0014400616974070,-16.5473532918618353,-7.9841282075190341,378.7929652299827694
0.4763463715853845,0.0993818677442093,0.0003336810258122,15.4533100179571132,2.7867883290256854,378.5002191123015791,0.6939787865510068,0.1017620092341900,0.0014390125927686,-14.3713255532109656,-11.6642892532420088,371.9517613597588479
0.4754143353694976,0.1018047425727633,0.0003358963991875,16.0975690241795668,1.5220708991641811,384.4196071842112019,0.6940689181624670,0.1007182807915387,0.0014395184447230,-13.4614824826933575,-11.1697509543755764,370.9678843080484967
0.4765957765891534,0.0964899571086246,0.0003292389354914,14.8926722726857701,4.9088700533449741,384.1063172885708354,0.6919903156160596,0.0942174868370632,0.0014428960939710,-13.7934415475486833,-7.5980811334163700,373.1723256376805011
0.4773571200213836,0.0947948647003574,0.0003279167654842,13.5693943569225208,5.7185445523935430,377.5568366377671623,0.6920381025816777,0.0933235389141303,0.0014433070494975,-11.8417519101897177,-7.1383125415975401,371.9499232905856161
0.4779001955663902,0.0933600077430587,0.0003265828425559,12.5611802979887646,4.3693979719377332,375.2320728698301764,0.6925972595706784,0.0939208430458759,0.0014429636572226,-12.0436073806037598,-7.8496111217584179,369.6075126876864942
0.4778513163102786,0.0929176079581840,0.0003256870182617,12.4503260438147763,3.0908006749879871,379.4753013616281123,0.6927815926400016,0.0943442070813520,0.0014427470809645,-10.5810797434205277,-12.2391135541644598,364.9363395124752287
0.4785249676104158,0.0921866998215215,0.0003258500539462,11.6754710610082242,2.9195993498960835,377.1575256444891693,0.6933363907630655,0.0953182769551724,0.0014422182867958,-11.7046997914752886,-9.3826778608369441,372.8218125179075173
0.4789885586940349,0.0915632245197307,0.0003258047283042,10.9026269190675364,4.9271698500233221,375.1331070305224671,0.6924966179993864,0.0942707638758238,0.0014428056640500,-11.4262923781979033,-9.3838025136263479,380.9297702100940910
0.4772088735704201,0.0932199550128456,0.0003248724920061,11.7639353190343119,3.9213393192798645,379.0842426655139548,0.6942436597507620,0.0963879716567267,0.0014416308284918,-11.5809464575176619,-6.8548425725618749,374.7785865615017542
